text,start_time,start_time_minutes,start_time_seconds,end_time,end_time_minutes,end_time_seconds,lang_number
"​​​ ​¡Soy yo!​ ​​


",1.285,00,01.285,2.086,00,02.086,88
"​​​ ​¡Con la primavera llega el buen tiempo, ¿no?!​ ​​
",2.086,00,02.086,4.088,00,04.088,88
"​​​ ​¡Salmón!​ ​​


",4.088,00,04.088,4.755,00,04.755,88
"​​​ ​¡Pero también llegan las ganas de hacer el vago!​ ​​
",4.755,00,04.755,6.89,00,06.890,88
"​​​ ​¡Oso!​ ​​


",6.89,00,06.890,7.458,00,07.458,88
"​​​ ​¡Hoy les enseñaré cómo ponerse las pilas a esos vagos y vagas!​ ​​
",7.458,00,07.458,10.294,00,10.294,88
"​​​ ​¡Vamos como alma que lleva el oni!​ ​​


",10.294,00,10.294,11.862,00,11.862,88
"​​​ ​¡Marchando!​ ​​
",11.862,00,11.862,12.863,00,12.863,88
"​​​ ​Ay, no tengo ganas de nada...​ ​​


",12.863,00,12.863,14.665,00,14.665,88
"​​​ ​¡La oni está... EN CASA!​ ​​
",14.665,00,14.665,16.5,00,16.500,88
"​​​ ​¡AAAH!​ ​​


",15.766,00,15.766,16.5,00,16.500,88
"​​​ ​¡Tú, para de vaguear!​ ​​
",17.167,00,17.167,18.635,00,18.635,88
"​​​ ​¡¿Pero qué te pasa?!​ ​​


",18.635,00,18.635,19.603,00,19.603,88
"​​​ ​¡Vengo a guardar el sayo por mayo!​ ​​
",19.603,00,19.603,21.572,00,21.572,88
"​​​ ​¡Vamos a darlo todo!​ ​​


",21.572,00,21.572,22.406,00,22.406,88
"​​​ ​¡Para el carro!​ ​​
",22.406,00,22.406,23.774,00,23.774,88
"​​​ ​¡Toma esto!​ ​​


",23.774,00,23.774,24.708,00,24.708,88
"​​​ ​¡Nooo! ¡Legumbres!​ ​​
",24.708,00,24.708,25.843,00,25.843,88
"​​​ ​¡Retirada!​ ​​


",26.176,00,26.176,27.077,00,27.077,88
"​​​ ​Ay, ¿qué diablos fue eso...?​ ​​
",27.077,00,27.077,28.612,00,28.612,88
"​​​ ​¿Funcionó?​ ​​


",28.612,00,28.612,29.446,00,29.446,88
"​​​ ​¡Que pesada!​ ​​
",29.446,00,29.446,30.347,00,30.347,88
"​​​ ​¡Auauauah!​ ​​


",30.347,00,30.347,31.015,00,31.015,88
"​​​ ​¡¿Qué pasa?! ¡¿Qué pasa?!​ ​​
",31.015,00,31.015,32.016,00,32.016,88
"​​​ ​¡Supuse que esto podría pasar,​ ​​


",32.016,00,32.016,33.484,00,33.484,88
"​​​ ​así que sobrecalenté a Roboco-san!​ ​​
",33.484,00,33.484,35.953,00,35.953,88
"​​​ ​¡¿Qué clase de plan es ese?!​ ​​


",35.953,00,35.953,37.187,00,37.187,88
"​​​ ​¡Alerta! ¡Temperatura en aumento! ¡Temperatura en aumento!​ ​​
",37.187,00,37.187,39.923,00,39.923,88
"​​​ ​¿Qué es este calor? ¿Acaso es amor?​ ​​


",39.923,00,39.923,42.059,00,42.059,88
"​​​ ​¡No, es su culpa!​ ​​
",42.059,00,42.059,43.193,00,43.193,88
"​​​ ​¡Pero que calor! ¡Esto pinta mal!​ ​​


",43.193,00,43.193,44.995,00,44.995,88
"​​​ ​¡JAJAJA! ¡Caíste en mi trampa!​ ​​
",44.995,00,44.995,46.797,00,46.797,88
"​​​ ​¡A que no puedes andar vagueando en este calor!​ ​​


",46.797,00,46.797,49.066,00,49.066,88
"​​​ ​¡Ay, que calóh!​ ​​
",49.066,00,49.066,50.501,00,50.501,88
"​​​ ​Pero que boba...​ ​​


",49.666,00,49.666,50.501,00,50.501,88
"​​​ ​El que juega con fuego, se quema.​ ​​
",50.501,00,50.501,52.536,00,52.536,88
"​​​ ​¡Si esto continua ambas moriremos asadas!​ ​​


",52.536,00,52.536,54.738,00,54.738,88
"​​​ ​¡Parará si haces un mal chiste!​ ​​
",54.738,00,54.738,56.006,00,56.006,88
"​​​ ​¡La sal sin sodio sabe a Na!​ ​​


",56.006,00,56.006,57.174,00,57.174,88
"​​​ ​¡JAJAJA!​ ​​
",57.174,00,57.174,58.142,00,58.142,88
"​​​ ​¡Al menos a alguien le gustó!​ ​​


",58.142,00,58.142,59.376,00,59.376,88
"​​​ ​Me da frío de la pena.​ ​​
",59.376,00,59.376,60.511,01,00.511,88
"​​​ ​A-Al menos parece que se arregló.​ ​​


",62.346,01,02.346,64.381,01,04.381,88
"​​​ ​¿Y qué tal, te ayudé?​ ​​
",64.381,01,04.381,65.349,01,05.349,88
"​​​ ​Ven aquí un momento.​ ​​


",65.349,01,05.349,66.383,01,06.383,88
"​​​ ​¿Sí?​ ​​
",66.383,01,06.383,66.917,01,06.917,88
"​​​ ​¡La oni se va... de casa!​ ​​


",66.917,01,06.917,68.852,01,08.852,88
"​​​ ​¡AAAH!​ ​​
",67.785,01,07.785,68.485,01,08.485,88
"​​​ ​¡Vivamos este mayo al máximo!​ ​​


",68.852,01,08.852,73.49,01,13.490,88
"​​​ ​¡Si te gustó el vídeo, recuerda suscribirte al canal!​ ​​
",68.852,01,08.852,73.49,01,13.490,88
